sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,31,,良好,1.4,0.31,3.5,5.5,21,9,14,14.7,0.7,1.1,133,"2024/06/25 04:00:00",0.3,9.7,23,1,121.760056,25.129167,1
汐止,新北市,30,,良好,0.5,0.17,7.2,4.9,29,8,8.3,9.4,1.1,1,181,"2024/06/25 04:00:00",0.3,9.2,26,1,121.64081,25.06624,2
萬里,新北市,25,,良好,0.1,0.13,9.9,12.2,17,11,2.7,3.7,0.9,2,195,"2024/06/25 04:00:00",0.1,7.8,17,0,121.689881,25.179667,3
新店,新北市,32,,良好,0.5,0.12,15.2,16.5,21,8,2.2,2.5,0.3,1.8,137,"2024/06/25 04:00:00",0.1,10,14,0,121.537778,24.977222,4
土城,新北市,27,,良好,1,0.19,3.1,4.6,26,7,9.3,11.2,1.9,0.3,182,"2024/06/25 04:00:00",0.3,8.3,24,0,121.451861,24.982528,5
板橋,新北市,31,,良好,0.4,0.23,2.7,3.9,22,10,12.1,14,1.8,0.6,322,"2024/06/25 04:00:00",0.4,9.5,18,0,121.458667,25.012972,6
新莊,新北市,26,,良好,0.2,0.18,4.5,4.8,26,6,9.5,10.5,0.9,0.6,231,"2024/06/25 04:00:00",0.4,7.9,23,0,121.4325,25.037972,7
菜寮,新北市,27,,良好,1.4,0.3,5.9,7.1,22,9,13.8,14.8,1,1.2,113,"2024/06/25 04:00:00",0.4,8.3,17,1,121.481028,25.06895,8
林口,新北市,28,,良好,0,0.28,7.6,10.1,12,6,17.3,19.9,2.5,1.8,131,"2024/06/25 04:00:00",0.3,7.7,12,0,121.36548982,25.07798949,9
淡水,新北市,27,,良好,0.4,0.19,8.2,6.8,21,7,9.2,9.7,0.5,,,"2024/06/25 04:00:00",0.3,8.3,18,1,121.449239,25.1645,10
士林,臺北市,31,,良好,0.3,0.18,9.1,6.1,21,10,6.3,6.9,0.5,1.1,138,"2024/06/25 04:00:00",0.3,9.5,18,0,121.51666356,25.10334003,11
中山,臺北市,28,,良好,0.6,0.17,12.4,8.4,12,7,5.1,5.3,0.2,1.2,155,"2024/06/25 04:00:00",0.3,8.7,16,0,121.526528,25.062361,12
萬華,臺北市,15,,良好,0.1,0.14,13.2,10.1,14,6,6,7.4,1.4,0.9,143,"2024/06/25 04:00:00",0.3,4,15,,121.507972,25.046503,13
古亭,臺北市,22,,良好,0.8,0.12,11.9,12.7,16,6,3.8,4.3,0.5,0.7,124,"2024/06/25 04:00:00",0.2,6.9,17,0,121.529556,25.020608,14
松山,臺北市,28,,良好,0.3,0.18,8.6,5,21,8,7,7.6,0.5,1.1,290,"2024/06/25 04:00:00",0.4,8.6,23,0,121.578611,25.05,15
